Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Utah Jazz* (4),54,28,.659,—,106.2,99.3,6.86
Denver Nuggets* (8),50,32,.610,4.0,110.7,107.0,3.74
Portland Trail Blazers (10),41,41,.500,13.0,95.4,96.3,-0.52
Minnesota Timberwolves (14),22,60,.268,32.0,95.6,102.4,-6.26
Seattle SuperSonics (15),20,62,.244,34.0,97.5,106.3,-8.04
Pacific Division
Los Angeles Lakers* (1),57,25,.695,—,108.6,101.3,7.34
Phoenix Suns* (6),55,27,.671,2.0,110.1,105.0,5.14
Golden State Warriors (9),48,34,.585,9.0,111.0,108.8,2.38
Sacramento Kings (11),38,44,.463,19.0,102.5,104.8,-1.86
Los Angeles Clippers (12),23,59,.280,34.0,93.8,101.1,-6.56
Southwest Division
New Orleans Hornets* (2),56,26,.683,—,100.9,95.6,5.46
San Antonio Spurs* (3),56,26,.683,—,95.4,90.6,5.10
Houston Rockets* (5),55,27,.671,1.0,96.7,92.0,4.83
Dallas Mavericks* (7),51,31,.622,5.0,100.4,95.9,4.70
Memphis Grizzlies (13),22,60,.268,34.0,100.7,106.9,-5.76
